factor,rank,taxon,weight
Factor1,1,Bacteroidetes_Porphyromonadaceae_Barnesiella,0.6118165501089888
Factor1,2,Firmicutes_Ruminococcaceae_Pseudoflavonifractor,0.6057406421382676
Factor1,3,Firmicutes_Ruminococcaceae_Anaerotruncus,0.5570816560673416
Factor1,4,Firmicutes_Ruminococcaceae_Oscillibacter,0.5537626917037418
Factor1,5,Firmicutes_unclassified_unclassified,0.5323225332459972
Factor1,6,Firmicutes_Ruminococcaceae_Flavonifractor,0.47622723294796215
Factor1,7,Proteobacteria_Burkholderiaceae_Burkholderia,0.4279321766780439
Factor1,8,Proteobacteria_Sutterellaceae_Sutterella,0.42593929694805693
Factor1,9,Firmicutes_Lachnospiraceae_Clostridium_XlVb,0.4222120509659125
Factor1,10,Firmicutes_Veillonellaceae_Megamonas,0.4182379477819299
Factor2,1,Bacteroidetes_Prevotellaceae_unclassified,1.2216909396901097
Factor2,2,Proteobacteria_Enterobacteriaceae_unclassified,1.1865943406174608
Factor2,3,Proteobacteria_Enterobacteriaceae_Escherichia,1.1795904191355986
Factor2,4,Firmicutes_Veillonellaceae_Megamonas,1.1737398727137092
Factor2,5,Proteobacteria_Sutterellaceae_Sutterella,1.0720990852079348
Factor2,6,Firmicutes_Erysipelotrichaceae_unclassified,0.9188100058165427
Factor2,7,Bacteroidetes_Porphyromonadaceae_Barnesiella,0.700001092941532
Factor2,8,Proteobacteria_Desulfovibrionaceae_Desulfovibrio,0.49641031343999625
Factor2,9,Bacteroidetes_Prevotellaceae_Prevotella,0.4658800858725484
Factor2,10,Bacteroidetes_Prevotellaceae_Paraprevotella,0.42814939549189024
Factor3,1,Firmicutes_Clostridiales_unclassified,1.559634753856933
Factor3,2,Firmicutes_Lachnospiraceae_Clostridium_XlVb,1.4042790630491542
Factor3,3,Proteobacteria_Sutterellaceae_Parasutterella,1.3196286102298957
Factor3,4,Firmicutes_Streptococcaceae_Streptococcus,1.3016688455280334
Factor3,5,Firmicutes_Acidaminococcaceae_Phascolarctobacterium,1.2710251061514786
Factor3,6,Firmicutes_Lachnospiraceae_incertae_sedis,0.8137734396848441
Factor3,7,Bacteroidetes_Rikenellaceae_Alistipes,0.6554821211955394
Factor3,8,Firmicutes_Lachnospiraceae_Coprococcus,0.6273951734528558
Factor3,9,Firmicutes_Lachnospiraceae_Roseburia,0.5611703300025978
Factor3,10,Firmicutes_Erysipelotrichaceae_unclassified,0.5475605233074271
Factor4,1,Actinobacteria_Coriobacteriaceae_Asaccharobacter,0.0021373457190220135
Factor4,2,Bacteroidetes_unclassified_unclassified,0.001511234042039855
Factor4,3,Bacteroidetes_Porphyromonadaceae_unclassified,0.0011734611647812694
Factor4,4,Firmicutes_Clostridiales_unclassified,0.0011604291789830672
Factor4,5,Firmicutes_Ruminococcaceae_unclassified,0.0011523612981216764
Factor4,6,Proteobacteria_Desulfovibrionaceae_Bilophila,0.0010382317531605217
Factor4,7,Firmicutes_Ruminococcaceae_Faecalibacterium,0.0010348936231780583
Factor4,8,Firmicutes_Peptostreptococcaceae_Clostridium_XI,0.0005536468305442497
Factor4,9,Firmicutes_Lachnospiraceae_Coprococcus,0.0005260790088967782
Factor4,10,Firmicutes_Lachnospiraceae_Blautia,0.0005148144504681103
Factor5,1,Firmicutes_Lachnospiraceae_unclassified,0.0019119179433264638
Factor5,2,Firmicutes_Clostridiales_unclassified,0.0009364336769974767
Factor5,3,Firmicutes_Streptococcaceae_Streptococcus,0.0008987576659315349
Factor5,4,Firmicutes_Lachnospiraceae_Clostridium_XlVb,0.0008952265489345201
Factor5,5,Firmicutes_Ruminococcaceae_unclassified,0.0006644309600216016
Factor5,6,Firmicutes_Acidaminococcaceae_Phascolarctobacterium,0.0005128957122412284
Factor5,7,Proteobacteria_Desulfovibrionaceae_Bilophila,0.0004717442740401999
Factor5,8,Firmicutes_Lachnospiraceae_Roseburia,0.0004339635738080397
Factor5,9,Firmicutes_Ruminococcaceae_Flavonifractor,0.0004032062215425957
Factor5,10,Bacteroidetes_Porphyromonadaceae_unclassified,0.00037634773928494177
Factor6,1,Firmicutes_Lachnospiraceae_Clostridium_XlVa,0.6782638769907343
Factor6,2,Firmicutes_Ruminococcaceae_Pseudoflavonifractor,0.6469712892373437
Factor6,3,Firmicutes_Lachnospiraceae_Coprococcus,0.6210549715247903
Factor6,4,Bacteroidetes_Porphyromonadaceae_unclassified,0.5134159148079062
Factor6,5,Firmicutes_Peptostreptococcaceae_Clostridium_XI,0.46068368694149814
Factor6,6,Actinobacteria_Propionibacteriaceae_Propionibacterium,0.40389580488546867
Factor6,7,Actinobacteria_Coriobacteriaceae_unclassified,0.36672873404769923
Factor6,8,Firmicutes_Ruminococcaceae_Anaerotruncus,0.2808617945723298
Factor6,9,Firmicutes_unclassified_unclassified,0.2636875520869868
Factor6,10,Proteobacteria_Burkholderiaceae_Burkholderia,0.2628785336914699
Factor7,1,Bacteroidetes_Porphyromonadaceae_Odoribacter,2.166913094053803
Factor7,2,Bacteroidetes_Porphyromonadaceae_unclassified,2.068562736654348
Factor7,3,Proteobacteria_Desulfovibrionaceae_Desulfovibrio,1.8630066134792078
Factor7,4,Bacteroidetes_unclassified_unclassified,1.8081850886140218
Factor7,5,Bacteroidetes_Rikenellaceae_Alistipes,1.4922997345570197
Factor7,6,Bacteroidetes_Prevotellaceae_Paraprevotella,1.459664070931738
Factor7,7,Firmicutes_Ruminococcaceae_Oscillibacter,1.2731497164120296
Factor7,8,Proteobacteria_Comamonadaceae_Pelomonas,1.2115788659029947
Factor7,9,Bacteroidetes_Porphyromonadaceae_Parabacteroides,1.1513549733861288
Factor7,10,Firmicutes_Clostridiales_unclassified,1.1385648936081965
Factor8,1,Bacteroidetes_unclassified_unclassified,0.1960336654518085
Factor8,2,Actinobacteria_Propionibacteriaceae_Propionibacterium,0.16561884710976124
Factor8,3,Bacteroidetes_Porphyromonadaceae_Odoribacter,0.15369332533777702
Factor8,4,Proteobacteria_Desulfovibrionaceae_Desulfovibrio,0.12835575348151357
Factor8,5,Firmicutes_Ruminococcaceae_Subdoligranulum,0.12796616951818612
Factor8,6,Bacteroidetes_Porphyromonadaceae_unclassified,0.10932228732897335
Factor8,7,Bacteroidetes_Prevotellaceae_Paraprevotella,0.1076232693461231
Factor8,8,Firmicutes_Lachnospiraceae_Clostridium_XlVa,0.10211599236024614
Factor8,9,Proteobacteria_Burkholderiales_unclassified,0.09961319995488388
Factor8,10,Bacteroidetes_Porphyromonadaceae_Butyricimonas,0.09731401564725432
