,287C_Caecum,290B_Caecum,296C_Caecum,298C_Caecum,302C_Caecum,362C_Caecum,364B_Caecum,367C_Caecum,390C_Caecum,403C_Caecum,411C_Caecum,414C_Caecum,287C_Sigmoid,290B_Sigmoid,296C_Sigmoid,298C_Sigmoid,302C_Sigmoid,362C_Sigmoid,364B_Sigmoid,367C_Sigmoid,390C_Sigmoid,403C_Sigmoid,411C_Sigmoid,414C_Sigmoid,287C_Transverse,290B_Transverse,296C_Transverse,298C_Transverse,302C_Transverse,362C_Transverse,364B_Transverse,367C_Transverse,390C_Transverse,403C_Transverse,411C_Transverse,414C_Transverse
Acidobacteria_Acidobacteria_Gp2_family_incertae_sedis_Gp2,0,0,1.019367992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Actinomycetaceae_Actinobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Actinomycetales_unclassified_Actinomycetales_unclassified,0,0,0.713557594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053504548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Bifidobacteriaceae_Bifidobacterium,4.446742503,0,0.203873598,4.526748971,2.457757296,0,8.961518187,0,1.479915433,0,0.103092784,0.560938297,0.251762336,0,1.250651381,5.445026178,0.535045479,1.220806794,2.797558494,0,1.950448076,0,1.685393258,0.863821138,11.12836439,0,0.261369577,3.671596124,1.664066563,0.463678516,0.616649538,0.052083333,1.523909616,0,1.734693878,0.051020408
Actinobacteria_Coriobacteriaceae_Asaccharobacter,0,0,0,0,0.153609831,0,0,0,0.052854123,0,0,0,0,0,0,0,0,0,0,0,0.052714813,0.158227848,0,0,0,0,0,0,0.05200208,0,0,0,0.105097215,0,0,0
Actinobacteria_Coriobacteriaceae_Atopobium,0,0,1.27420999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Coriobacteriaceae_Collinsella,0,0.210748156,0,1.33744856,1.587301587,0.203977562,2.846599895,0,1.057082452,1.211801897,1.082474227,0,0,0.975359343,0.416883794,1.727748691,1.712145532,2.016985138,0,0,1.634159199,1.054852321,1.736465781,0.152439024,0,0.207039337,0.104547831,0.203977562,1.820072803,0.824317362,0.154162384,0.208333333,1.996847084,0.902335456,2.704081633,0.051020408
Actinobacteria_Coriobacteriaceae_Coriobacteriaceae_unclassified,0,0,0,0.360082305,0.102406554,0.050994391,0.210859251,0,0,0,0,0,0,0,0.104220948,0.209424084,0.107009096,0.159235669,0,0.052687039,0,0,0,0.050813008,0,0,0.104547831,0,0,0.051519835,0.051387461,0.052083333,0,0,0,0
Actinobacteria_Coriobacteriaceae_Eggerthella,0,0.474183351,0,0.051440329,0,0,0,0,0,0,0.103092784,0,0,0.564681725,0.104220948,0.052356021,0,0,0,0,0.052714813,0.105485232,0.153217569,0,0,1.19047619,0,0,0,0,0,0,0,0.106157113,0.102040816,0
Actinobacteria_Coriobacteriaceae_Olsenella,0,0,0.0509684,0,0,0,0.105429626,0,0,0,0,0,0,0,1.406982804,0,0,0.42462845,0,0,0,0,0,0,0,0,8.886565604,0,0,0.10303967,0,0,0,0,0,0
Actinobacteria_Corynebacteriaceae_Corynebacterium,0,0,0,0,0.051203277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Dermabacteraceae_Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051519835,0,0,0,0,0,0
Actinobacteria_Dermacoccaceae_Kytococcus,0,0,0,0,0,0,0.052714813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051519835,0,0,0,0,0,0
Actinobacteria_Microbacteriaceae_Microbacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107009096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Microbacteriaceae_Rathayibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Micrococcaceae_Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Micrococcaceae_Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Micrococcaceae_Micrococcus,0,0,0,0,0,0.050994391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria_Nocardiaceae_Gordonia,0,0,0,0,0,0.152983172,0.052714813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051519835,0,0,0,0,0,0
