Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Total,6255822,9592163,10439634,11440788,8401281,9168353,10188011,9670497,9443334,7264082,9348105,263,8877297,16586678,14933585,10246016,8684237,8464140,9261047,12321124,10824560,8188137,8985195,9095421,9266838,10587919,8997422,7249811,7608168,12267187,9179380,11094769,8631561,7985139,7247602,12296407,10208530,7934538,12545042
Unclassified,467796,5071688,4008240,6455332,1929945,1935907,2416242,2111697,4753043,2319788,2228151,82,2573987,6954066,6932611,2285194,2142274,2919741,3160085,5389097,6453139,4636905,3244551,5147967,5682751,5801352,5410754,4235686,4003154,5325962,2469343,2094839,8301965,2572193,4009737,4918274,1530407,1021822,6160982
Bifidobacterium longum,537719,10858,5432,4868,164286,783937,108154,411048,3509,3293,451172,14,364836,1582146,64553,1274503,466780,244102,378909,10247,15694,45710,998979,71126,3372,3801,1557,1530,432,2180,55487,17938,85,776481,8300,32126,967,6175,59680
Cutibacterium acnes,41632,90906,49858,78813,86440,1254678,63187,16142,837047,82974,34330,2,11678,146542,162609,7393,6991,30471,6231,1041426,118764,22436,8585,14797,31135,100389,95667,11667,54166,273128,14904,2377862,3010,14427,39206,75125,340256,108884,1004614
Bifidobacterium adolescentis,11934,5139,4096,2424,87513,130875,53695,105673,2309,2591,937972,1,450079,271199,278620,1902169,1680205,391306,280241,145882,5057,77343,29197,131604,6322,5568,6803,5921,454,1531,1501,5292,53,27174,1725,4615,581,4418,60031
Enterococcus faecium,1809485,34494,26408,29845,4005,5009,5701,1357,4149,5110,3276,34,1049,29726,39495,1048,1003,2373,352,30586,12370,1812,1817055,1526,1842,2649,690,640,309,8628,1039,12041,778,1180817,12803,124071,1834,6675,44622
[Ruminococcus] torques,26151,2087,1223795,46265,80484,472507,141484,952896,1327,1352,6558,0,6038,4059,2966,5033,5229,201997,326963,4976,2709,175410,17248,207651,3288,8297,6293,6288,19620,6357,214078,50583,28,17223,1249,2370,75827,79788,15456
Sutterella wadsworthensis,13902,88591,68140,157653,58371,99698,75419,96433,184215,153805,113437,5,47947,75242,226869,50595,52455,214806,235519,67503,626833,84925,25270,89852,44171,144161,16795,16635,8396,29886,35828,295653,3471,42641,120167,100286,12643,292267,80388
Faecalibacterium prausnitzii,26151,5507,178384,4278,4024,8976,4683,6564,5407,3387,640748,1,736375,31428,95940,102280,127364,213996,355594,3777,2569,213778,9099,286839,45102,62483,56387,37346,9084,12538,38408,15860,281,9931,1199,5201,192976,126150,77962
Fusicatenibacter saccharivorans,380,711,46924,11336,2311,2705,2643,2267,1092,1352,33492,0,18383,3175,3372,24620,15462,119613,139743,1044,2054,63797,732,74469,3298,4935,5703,3309,2057,1478,593440,66528,279,1017,769,534,1788096,703005,9233
