region,gene,log2FC,pval,adj_pval,sig
Caecum,TNFRSF17,-0.23810048,0.0,0.0,***
Caecum,CCL3,0.61217266,9.781763e-38,5.8690576855083685e-37,***
Caecum,XBP1,0.14384866,3.4506287e-36,1.811580081308758e-35,***
Caecum,CXCR4,0.44993567,3.9718557e-28,1.1915567028549743e-27,***
Caecum,CCL4,0.7030184,3.2284327e-26,9.039611470374324e-26,***
Caecum,CD38,0.31109607,1.8329263e-25,4.811431603517673e-25,***
Caecum,ITGB7,-0.28408867,9.779103e-24,2.4160137237401363e-23,***
Caecum,CD27,-0.16290638,7.1501815e-21,1.5805664427333897e-20,***
Caecum,IGHA2,-0.065321445,1.4166558e-14,2.5869367294264367e-14,***
Caecum,ITGA4,-0.41645145,4.5428856e-12,7.950049798165215e-12,***
Caecum,JCHAIN,-0.005103588,2.6663067e-09,3.999460096437701e-09,***
Caecum,IGHA1,0.0060806274,1.7097665e-05,2.112064558947596e-05,***
Caecum,CCR10,0.06649196,0.003510167,0.003984513768070453,**
Caecum,EGR1,-0.1769855,0.0049175774,0.005435217098381959,**
Sigmoid,IGHA2,0.18617237,0.0,0.0,***
Sigmoid,ITGB7,0.5699285,0.0,0.0,***
Sigmoid,TNFRSF17,0.24659218,0.0,0.0,***
Sigmoid,CD27,0.2437411,1.15e-43,9.652143822269341e-43,***
Sigmoid,ITGA4,0.583833,6.933485e-39,4.853439270142934e-38,***
Sigmoid,IGHA1,-0.025761366,2.9884222e-30,1.1410339448506333e-29,***
Sigmoid,EGR1,-0.52700675,7.421627e-20,1.558541734471861e-19,***
Sigmoid,CCR10,0.2408632,2.6034212e-19,5.206842428104121e-19,***
Sigmoid,CCL4,-0.67515445,1.2384715e-16,2.3643546609623985e-16,***
Sigmoid,CCL3,-0.39548877,1.0647788e-11,1.7888284187250747e-11,***
Sigmoid,CXCR4,-0.63142514,1.2624964e-09,1.963883352236924e-09,***
Sigmoid,CD38,-0.1897533,1.44019e-07,1.9512251289979171e-07,***
Sigmoid,XBP1,-0.022696674,0.018566115,0.019994277507066727,*
Sigmoid,JCHAIN,0.011943817,0.0620548,0.06356833348187005,
Transverse,IGHA2,-0.11254835,2.6904018e-35,1.2555208353236928e-34,***
Transverse,ITGB7,-0.30546033,1.4533179e-33,6.1039353509392586e-33,***
Transverse,EGR1,0.56836843,2.2961975e-29,8.036691247758345e-29,***
Transverse,CCR10,-0.28745264,3.1612855e-29,1.0213383949159473e-28,***
Transverse,XBP1,-0.11171895,4.957458e-22,1.1567401761989184e-21,***
Transverse,IGHA1,0.01733303,2.0003716e-11,3.2313694588704554e-11,***
Transverse,ITGA4,-0.2087791,8.811976e-09,1.276217219260067e-08,***
Transverse,CCL3,-0.26038492,1.026918e-08,1.437685224203733e-08,***
Transverse,CD38,-0.12591946,9.747392e-07,1.2793452484061163e-06,***
Transverse,CXCR4,0.084319115,3.0414487e-06,3.870934754311086e-06,***
Transverse,CD27,-0.081637725,2.642806e-05,3.171367279719561e-05,***
Transverse,JCHAIN,-0.0060703754,0.00011149639,0.00013007912032965882,***
Transverse,CCL4,-0.1399281,0.027335802,0.028702592197805646,*
Transverse,TNFRSF17,-0.020497784,0.3513477,0.3513477146625519,
