region,gene,log2FC,pval,adj_pval,sig
Caecum,ITGB7,-0.46015483,0.0067885476,0.021144472528249025,*
Caecum,IGHG1,0.24022603,0.024841087,0.0568189364122717,
Caecum,IGHG4,-0.22979021,0.03842405,0.07335500182075934,
Caecum,XBP1,0.1374886,0.045015924,0.08220299106577167,
Caecum,TNFRSF17,-0.27451122,0.058694426,0.10271524544805288,
Caecum,IRF4,-0.47577083,0.08097389,0.13080398165262663,
Caecum,SDC1,-0.1674859,0.09861967,0.15340837505128646,
Caecum,IGHG3,-0.12565064,0.11179973,0.16769959777593613,
Caecum,CCR10,0.21552563,0.25162792,0.32025371898304333,
Caecum,CD38,0.28786695,0.27676225,0.33211469650268555,
Caecum,IGHG2,-0.088439226,0.45101896,0.4984946392084423,
Caecum,JCHAIN,0.0078315735,0.605491,0.6357655316591263,
Caecum,ITGA4,0.0063455105,0.8885665,0.9102388474999404,
Caecum,PRDM1,-0.020415127,0.9274928,0.9274927973747253,
Sigmoid,ITGB7,0.6697787,8.148007e-08,3.4221628197883547e-06,***
Sigmoid,IGHG4,0.38971913,4.604296e-06,9.669021619629348e-05,***
Sigmoid,IRF4,0.75615036,0.00020644894,0.002195862223743461,**
Sigmoid,TNFRSF17,0.40663412,0.00020912974,0.002195862223743461,**
Sigmoid,SDC1,0.3786826,0.0008027847,0.005619492847472429,**
Sigmoid,IGHG2,0.33563995,0.0020960015,0.008803206402808428,**
Sigmoid,ITGA4,0.6090838,0.0070481575,0.021144472528249025,*
Sigmoid,IGHG3,0.17473817,0.012034298,0.03159003204200417,*
Sigmoid,PRDM1,-0.29393208,0.075611465,0.12702726066112519,
Sigmoid,CD38,0.15387249,0.12835892,0.18589911892496305,
Sigmoid,XBP1,0.075252295,0.26301053,0.32489536264363456,
Sigmoid,CCR10,0.13263321,0.3561466,0.41550437112649286,
Sigmoid,IGHG1,-0.109375715,0.39908236,0.45301241165882833,
Sigmoid,JCHAIN,-0.028959513,0.5075063,0.5465452579351572,
Transverse,ITGB7,-0.5070623,0.00044829075,0.0037656423286534847,**
Transverse,IGHG4,-0.31461716,0.0012570022,0.007542013423517346,**
Transverse,ITGA4,-0.902835,0.0015110581,0.007738909063239893,**
Transverse,XBP1,-0.22865272,0.0016583377,0.007738909063239893,**
Transverse,IGHG2,-0.37045658,0.0057325666,0.021144472528249025,*
Transverse,CD38,-0.505497,0.0061914413,0.021144472528249025,*
Transverse,IRF4,-0.6195711,0.010831749,0.03032889738678932,*
Transverse,TNFRSF17,-0.29840386,0.016042884,0.03963536155574462,*
Transverse,SDC1,-0.35622317,0.025703805,0.0568189364122717,
Transverse,CCR10,-0.39167738,0.03416939,0.07175572067499161,
Transverse,PRDM1,0.37037876,0.036547232,0.07309446483850479,
Transverse,IGHG3,-0.11605096,0.18031728,0.2524441957473755,
Transverse,JCHAIN,0.02981782,0.21745192,0.29461227213182756,
Transverse,IGHG1,-0.08330226,0.24829997,0.32025371898304333,
